id;title;address;coordonnees
147;"Maison Julien Gracq";"4 La Grassière (St Laurent-du-Mottay) 49410 Mauges-sur-Loire";47.346899,-0.934451
148;"Musée départemental Stéphane Mallarmé";"4 Quai Stéphane Mallarmé, 77870 Vulaines-sur-Seine, France";48.4311564,2.7467931
149;"La Boisserie – Maison de Charles de Gaulle";"Rue du Général de Gaulle, 52330 Colombey-les-Deux-Églises, France";48.2213051,4.8856479
150;"Maison de Pierre Mac Orlan";"Promenade Pierre Mac Orlan, 77750 Saint-Cyr-sur-Morin, France";48.9097273,3.1752397
151;"Maison Elsa Triolet – Louis Aragon - Moulin de Villeneuve";"14 Rue Jean Moulin, 78730 Saint-Arnoult-en-Yvelines, France";48.571462,1.933999
152;"Musée Goethe";"Gare de Sessenheim, 67770 Sessenheim, France";48.796344,7.9891695
153;"Appartement d'Auguste Comte";"44 Rue Francisque Gay, 75006 Paris, France";48.85287,2.343452
154;"Abbaye-école de Sorèze";"3 Rue Jean Croux, 81540 Sorèze, France";43.453041,2.049147
155;"Atelier-musée de Rosa Bonheur";"47 Rue de Moret, 77810 Thomery, France";48.402376,2.781486
156;"Château de Fénelon";"82 Chem. du Four Banal, 24370 Sainte-Mondane, France";44.831184,1.34205
157;"Château des Ormes";"2 Rue du Lavoir, 86220 Les Ormes, France";46.963622,0.62547
158;"Maison Raymond Poincaré";"11 Chem. de Laveau, 55300 Sampigny, France";48.82467,5.508022
159;"Maison Max Ernst et Dorothea Tanning, Le pin perdu";"6 Rue de la Rende, 37420 Huismes, France";47.230711,0.250196
160;"Maison Louis Guilloux";"11 Rue Henri Wallon, 22000 Saint-Brieuc, France";48.513587,-2.742654
161;"Maison de Nostradamus";"49 Rue Anatole France, 13300 Salon-de-Provence, France";43.639996,5.051074
162;"Maison natale de Gaston Doumergue";"52 Pl. Gaston Doumergue, 30670 Aigues-Vives, France";43.740005,4.178848
163;"Château Observatoire d'Abbadia";"40 Rue Atchoenea, 64700 Hendaye, France";43.360927,-1.759387
164;"Château de Guez de Balzac";"36 Rte de l'Âge, 16430 Balzac, France";45.715729,0.136023
165;"Musée Victor Hugo - Maison Vacquerie";"10 Quai Victor Hugo, 76490 Rives-en-Seine, France";49.509152,0.672047
166;"Pavillon Flaubert";"21 Quai Gustave Flaubert, 76380 Canteleu, France";49.432852,1.028056
167;"Maison Zervos";"37 Rue Saint-Etienne, 89450 Vézelay, France";47.464169,3.743668
168;"Villa Lumière - Institut Lumière";"25 Rue du Premier Film, 69008 Lyon, France";45.744977,4.870474
169;"Château de Vaux-sur-Seine (""Castello Marochetti"")";"161 Rue du Général de Gaulle, 78740 Vaux-sur-Seine, France";49.006452,1.961502
170;"Fondation Camargo";"14 Av. de l'Amiral Ganteaume, 13260 Cassis, France";43.214019,5.532951
171;"Château Michel de Montaigne";"31 Montaigne E, 24230 Saint-Michel-de-Montaigne, France";44.878153,0.03026
172;"Musée-Mémorial Lu Xun";"China, Zhe Jiang Sheng, Shao Xing Shi, Yue Cheng Qu, Luxun Middle Rd, 241: 312002";29.992075,120.586675
173;"Maison Forestière Wilfred Owen";"11 Rue de la Grande Prairie, 59360 Ors, France";50.100444,3.638786
174;"Domaine de Bonrepos-Riquet";"1 Pl. Paul Riquet, 31590 Bonrepos-Riquet, France";43.676542,1.623989
175;"Château de la Brède";"16 Av. Charles de Gaulle, 33650 La Brède, France";44.679966,-0.52721
176;"Maison Jean Cocteau";"7 Rue du Rousset, 91490 Milly-la-Forêt, France";48.402677,2.457828
177;"Maison Pierre Bayle";"327 Las Planos, 09130 Carla-Bayle, France";43.155589,1.379112
178;"Château de Malromé";"1 Aux Moulins, 33490 Saint-André-du-Bois, France";44.605275,-0.18803
179;"Centre Abbé Pierre Emmaüs";"239 Rte de Bosc le Hard, 76690 Esteville, France";49.610461,1.218711
180;"Maison Léon Blum";"des Metz, 19 Chem. de la Mare, 78350 Jouy-en-Josas, France";48.77099,2.167839
181;"Château de Médan";"5 Rue de Breteuil, 78670 Medan, France";48.954743,1.99249
182;"Maison natale de Dominique Jean-Larrey";"325 Lesponne, 65710 Beaudean, France";43.008483,0.140033
183;"Musée Barbey d'Aurevilly";"4 Rte de la Malbreche, 50390 Saint-Sauveur-le-Vicomte, France";49.382654,-1.54003
184;"Villa départementale Marguerite Yourcenar";"617 Rue de la Blanchisserie, 59270 Saint-Jans-Cappel, France";50.768695,2.726427
185;"Degas House Museum";"7 Esp. de l'Université, 45100 Orléans, France";47.840437,1.935716
186;"Parc et demeure Edouard André";"95 Rue d'Amboise, 37150 La Croix-en-Touraine, France";47.349407,0.989834
187;"Maison de Louis Pasteur";"16 Rue Morel, 39600 Arbois, France";46.908221,5.773734
188;"Maison natale de Claude Debussy";"7 Rue Girard, 78112 Saint-Germain-en-Laye, France";48.885356,2.062429
189;"Maison natale Pierre de Ronsard";"351 La Possonnière, 41800 Vallée-de-Ronsard, France";47.747017,0.692279
190;"Musée Renaudot";"Musée Renaudot Rue du Jeu de Paume, 86200 Loudun, France";47.009081708381,0.082333534512117
191;"Musée Renoir";"Musée Renoir Chemin des Collettes, 06800 Cagnes-sur-Mer, France";43.667842992193,7.1570484079671
192;"Maison-Musée départemental Alexandre Franconie";"Maison-musée Franconie 1 Av du General Charles de Gaulle, 97300 Cayenne, France";4.9382556166591,-52.334409045425
193;"Maison de Jean Giono, dénommée Le Paraïs";"Le Paraïs, maison de Jean Giono Impasse du Parais, 04100 Manosque, France";43.834011,5.788889
